101	356.4
102	320.1
103	594
104	244.2
105	234.3
106	448.8
107	412.5
108	564.3
109	577.5
110	643.5
111	0
112	0
113	874.5
114	640.2
115	1046.1
116	330
117	0
118	1098.9
119	597.3
120	422.4
121	0
122	0
123	0
124	0
201	356.4
202	320.1
203	594
204	244.2
205	234.3
206	448.8
207	412.5
208	564.3
209	577.5
210	643.5
211	0
212	0
213	874.5
214	640.2
215	1046.1
216	330
217	0
218	1098.9
219	597.3
220	422.4
221	0
222	0
223	0
224	0
301	356.4
302	320.1
303	594
304	244.2
305	234.3
306	448.8
307	412.5
308	564.3
309	577.5
310	643.5
311	0
312	0
313	874.5
314	640.2
315	1046.1
316	330
317	0
318	1098.9
319	597.3
320	422.4
321	0
322	0
323	0
324	0
325	0
