A14	30000	11.9047619	109	111
A15	30000	11.9047619	109	112
A16	30000	11.9047619	110	111
A17	30000	11.9047619	110	112
A7	30000	11.9047619	103	124
B14	30000	11.9047619	209	211
B15	30000	11.9047619	209	212
B16	30000	11.9047619	210	211
B17	30000	11.9047619	210	212
B7	30000	11.9047619	203	224
C14	30000	11.9047619	309	311
C15	30000	11.9047619	309	312
C16	30000	11.9047619	310	311
C17	30000	11.9047619	310	312
C35	30000	111.1111111	323	325
C7	30000	11.9047619	303	324
A1	175	71.42857143	101	102
B1	175	71.42857143	201	202
C1	175	71.42857143	301	302
A29	500	71.42857143	117	118
B29	500	71.42857143	217	218
C29	500	71.42857143	317	318
A24	500	58.82352941	115	116
B24	500	58.82352941	215	216
C24	500	58.82352941	315	316
A33_1	500	45.45454545	120	123
A33_2	500	45.45454545	120	123
B33_1	500	45.45454545	220	223
B33_2	500	45.45454545	220	223
C33_1	500	45.45454545	320	323
C33_2	500	45.45454545	320	323
A10	175	16.39344262	106	110
A11	175	16.39344262	107	108
A28	500	43.47826087	116	119
B10	175	16.39344262	206	210
B11	175	16.39344262	207	208
B28	500	43.47826087	216	219
C10	175	16.39344262	306	310
C11	175	16.39344262	307	308
C28	500	43.47826087	316	319
A27	500	38.46153846	116	117
A31_1	500	38.46153846	118	121
A31_2	500	38.46153846	118	121
B27	500	38.46153846	216	217
B31_1	500	38.46153846	218	221
B31_2	500	38.46153846	218	221
C27	500	38.46153846	316	317
C31_1	500	38.46153846	318	321
C31_2	500	38.46153846	318	321
A3	175	11.76470588	101	105
B3	175	11.76470588	201	205
C3	175	11.76470588	301	305
A9	175	11.36363636	105	110
B9	175	11.36363636	205	210
C9	175	11.36363636	305	310
A23	500	16.94915254	114	116
A8	175	9.615384615	104	109
B23	500	16.94915254	214	216
B8	175	9.615384615	204	209
C23	500	16.94915254	314	316
C8	175	9.615384615	304	309
A32_1	500	25	119	120
A32_2	500	25	119	120
B32_1	500	25	219	220
B32_2	500	25	219	220
C32_1	500	25	319	320
C32_2	500	25	319	320
A19	500	23.80952381	111	114
B19	500	23.80952381	211	214
C19	500	23.80952381	311	314
A6	175	8.403361345	103	109
B6	175	8.403361345	203	209
C6	175	8.403361345	303	309
A18	500	20.83333333	111	113
A20	500	20.83333333	112	113
A4	175	7.874015748	102	104
B18	500	20.83333333	211	213
B20	500	20.83333333	212	213
B4	175	7.874015748	202	204
C18	500	20.83333333	311	313
C20	500	20.83333333	312	313
C4	175	7.874015748	302	304
A25_1	500	20.40816327	115	121
A25_2	500	20.40816327	115	121
B25_1	500	20.40816327	215	221
B25_2	500	20.40816327	215	221
C25_1	500	20.40816327	315	321
C25_2	500	20.40816327	315	321
A26	500	19.23076923	115	124
B26	500	19.23076923	215	224
C26	500	19.23076923	315	324
AB1	175	6.211180124	107	203
A12-1	175	6.060606061	108	109
A13-2	175	6.060606061	108	110
B12-1	175	6.060606061	208	209
B13-2	175	6.060606061	208	210
C12-1	175	6.060606061	308	309
C13-2	175	6.060606061	308	310
A34	500	14.70588235	121	122
B34	500	14.70588235	221	222
C34	500	14.70588235	321	322
A5	175	5.208333333	102	106
B5	175	5.208333333	202	206
C5	175	5.208333333	302	306
AB3	500	13.51351351	123	217
AB2	500	13.33333333	113	215
A2	175	4.739336493	101	103
B2	175	4.739336493	201	203
C2	175	4.739336493	301	303
A22	500	11.49425287	113	123
B22	500	11.49425287	213	223
C22	500	11.49425287	313	323
A21	500	10.30927835	112	123
B21	500	10.30927835	212	223
C21	500	10.30927835	312	323
CA_1	500	10.30927835	325	121
CB_1	500	9.615384615	318	223
A30	500	9.523809524	117	122
B30	500	9.523809524	217	222
C30	500	9.523809524	317	322
