101_1_1	163.02	101	20
101_2_1	163.02	101	20
101_3_1	19.64	101	76
101_4_1	19.64	101	76
102_1_1	163.02	102	20
102_2_1	163.02	102	20
102_3_1	19.64	102	76
102_4_1	19.64	102	76
107_1_1	75.64	107	100
107_2_1	75.64	107	100
107_3_1	75.64	107	100
113_1_1	74.75	113	197
113_2_1	74.75	113	197
113_3_1	74.75	113	197
115_6_1	15.46	115	155
115_1_1	94.74	115	12
115_2_1	94.74	115	12
115_3_1	94.74	115	12
115_4_1	94.74	115	12
115_5_1	94.74	115	12
116_1_1	15.46	116	155
118_1_1	5.46	118	400
121_1_1	5.46	121	400
122_1_1	0	122	50
122_2_1	0	122	50
122_3_1	0	122	50
122_4_1	0	122	50
122_5_1	0	122	50
122_6_1	0	122	50
123_1_1	15.46	123	155
123_2_1	15.46	123	155
123_3_1	15.89	123	350
201_3_1	19.64	201	76
201_4_1	19.64	201	76
201_1_1	163.02	201	20
201_2_1	163.02	201	20
202_1_1	163.02	202	20
202_2_1	163.02	202	20
202_3_1	19.64	202	76
202_4_1	19.64	202	76
207_1_1	75.64	207	100
207_2_1	75.64	207	100
207_3_1	75.64	207	100
213_1_1	74.75	213	197
213_2_1	74.75	213	197
213_3_1	74.75	213	197
215_6_1	15.46	215	155
215_1_1	94.74	215	12
215_2_1	94.74	215	12
215_3_1	94.74	215	12
215_4_1	94.74	215	12
215_5_1	94.74	215	12
216_1_1	15.46	216	155
218_1_1	5.46	218	400
221_1_1	5.46	221	400
222_1_1	0	222	50
222_2_1	0	222	50
222_3_1	0	222	50
222_4_1	0	222	50
222_5_1	0	222	50
222_6_1	0	222	50
223_1_1	15.46	223	155
223_2_1	15.46	223	155
223_3_1	15.89	223	350
301_3_1	19.64	301	76
301_4_1	19.64	301	76
301_1_1	163.02	301	20
301_2_1	163.02	301	20
302_1_1	163.02	302	20
302_2_1	163.02	302	20
302_3_1	19.64	302	76
302_4_1	19.64	302	76
307_1_1	75.64	307	100
307_2_1	75.64	307	100
307_3_1	75.64	307	100
313_1_1	74.75	313	197
313_2_1	74.75	313	197
313_3_1	74.75	313	197
315_6_1	15.46	315	155
315_1_1	94.74	315	12
315_2_1	94.74	315	12
315_3_1	94.74	315	12
315_4_1	94.74	315	12
315_5_1	94.74	315	12
316_1_1	15.46	316	155
318_1_1	5.46	318	400
321_1_1	5.46	321	400
322_1_1	0	322	50
322_2_1	0	322	50
322_3_1	0	322	50
322_4_1	0	322	50
322_5_1	0	322	50
322_6_1	0	322	50
323_1_1	15.46	323	155
323_2_1	15.46	323	155
323_3_1	15.89	323	350
101_1_2	163.02	101	20
